smiles,DHODH
OC(=O)c1cc(F)cc2[nH]c(nc12)c3c(F)cc(cc3F)c4ccccc4,6.56
OC(=O)c1ccccc1NC(=O)c2ccc(cc2)c3ccccc3,5.3
NC(=O)c1cc(F)cc2[nH]c(nc12)c3ccc(cc3F)c4cccc(NC(=O)C5CC5)c4,4.42
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2ccc(Cl)cc2)c(c1)C(=O)OC)\O,7.35
Cc1ccc(Nc2ccc(nc2)c3c(F)cccc3F)c(c1)C(=O)O,7.72
OC(=O)c1cccc2nc([nH]c12)c3c(F)c(F)c(c(F)c3F)c4cccs4,6.3
C\C(=C(/C#N)\C(=O)Nc1ccc(cc1C(F)(F)F)c2ccccc2Cl)\O,6.77
CCOC(=O)c1sc(Nc2ccc3OCOc3c2)nc1c4ccccc4,5.96
COc1cccc(c1)c2ccc(NC(=O)C3=C(CCC3O)C(=O)O)c(F)c2,5.84
Cc1cc(O)n2nc(SCc3ccccc3Cl)nc2n1,4.92
Cc1ccc(Nc2ccc(nc2)c3ccncc3F)c(c1)C(=O)O,7.05
CCOC(=O)c1sc(Nc2ccc(C)c(F)c2)nc1C(C)(C)C,6.19
Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F,5
Cc1n[nH]c(Nc2ccc(cc2)C(F)(F)F)c1C#N,5.58
OC(=O)c1cccc2[nH]c(nc12)c3ccc(cc3)c4ccccc4F,6.31
NC(=O)c1cccc2[nH]c(nc12)c3ccc(cc3)c4ccccn4,4.55
CCc1oncc1\C(=N\c2ccc(cc2)C#N)\S,4.96
OC(=O)c1cc(nc2ccc(Br)cc12)c3ccc(Cl)cc3Cl,6.18
OC(=O)c1cc(F)cc2[nH]c(nc12)c3ccc(cc3F)c4ccccc4,6.21
COc1cccc(c1)c2ccc(Nc3ncccc3C(=O)O)c(Cl)c2,6.82
CCOC(=O)c1sc(Nc2ccc(C)c(Cl)c2)nc1C,6.01
Cc1ccccc1c2cc(F)c(Nc3ncccc3C(=O)O)c(F)c2,7.96
CCOC(=O)c1sc(Nc2ccc(Cl)c(c2)C(F)(F)F)nc1NC(=O)C3CC3,5.22
OC(=O)C1=C(CSC1)C(=O)Nc2c(F)cc(cc2F)c3cccc(OC(F)(F)F)c3,7.82
CCc1ccc2nc(C(=O)Nc3c(F)cc(cc3F)c4cccc(F)c4)c(C)c(O)c2c1,5.49
OC(=O)c1cc(ccc1Nc2cnc(nc2)c3c(F)cc(O)cc3F)C4CC4,7.24
CCOc1cccc(c1)c2ncc(Nc3ccc(C)cc3C(=O)O)cc2C,7.52
CC(=O)c1sc(Nc2ccc(Cl)c(c2)C(F)(F)F)nc1C,5.63
